Player	서포트 벡터 머신 - At14 Combat Model Accuracy	서포트 벡터 머신 - At14 Manage Model Accuracy	서포트 벡터 머신 - At14 Diff Model Accuracy	서포트 벡터 머신 - AF14 Combat Model Accuracy	서포트 벡터 머신 - AF14 Manage Model Accuracy	서포트 벡터 머신 - AF14 Diff Model Accuracy
??公主	0.75862069	0.689655172	0.724137931	0.948275862	0.965517241	1
너는 나의 자존심	0.745098039	0.803921569	0.68627451	0.921568627	0.745098039	0.901960784
덕소리	0.790322581	0.741935484	0.741935484	0.887096774	0.887096774	0.903225806
도파민	0.796875	0.78125	0.6875	0.9375	0.921875	0.96875
땅굴팀 미드	1	0.806451613	0.774193548	0.935483871	0.935483871	0.967741935
리 칠	0.901960784	0.764705882	0.862745098	0.901960784	0.901960784	0.882352941
리하우급 누누	0.810344828	0.74137931	0.793103448	0.948275862	0.931034483	0.948275862
마리골드	0.811320755	0.849056604	0.79245283	0.962264151	0.905660377	0.962264151
무적코털 보보보	0.833333333	0.866666667	0.933333333	0.966666667	0.966666667	0.933333333
베인의 여왕 류하린	0.84057971	0.695652174	0.797101449	0.898550725	0.855072464	0.956521739
소나기	0.72	0.76	0.8	0.92	0.78	0.98
소울이강철멘탈1	0.795918367	0.714285714	0.653061224	0.87755102	0.918367347	0.979591837
쏘 테	0.793103448	0.724137931	0.637931034	0.965517241	0.931034483	0.948275862
안강최	0.793103448	0.724137931	0.724137931	0.982758621	0.896551724	0.896551724
우와앙	0.807692308	0.769230769	0.769230769	0.961538462	0.884615385	0.923076923
위너팀 Mid	0.789473684	0.815789474	0.868421053	1	0.842105263	0.973684211
위너팀 미드2	0.759259259	0.796296296	0.777777778	0.962962963	0.944444444	1
위너팀 주지태	0.885714286	0.8	0.8	0.971428571	0.914285714	0.971428571
위너팀 판테온	0.830769231	0.753846154	0.769230769	0.907692308	0.892307692	0.923076923
으 악	1	0.923076923	0.846153846	1	0.923076923	1
이쁜 오르트구름	0.790322581	0.741935484	0.790322581	0.935483871	0.870967742	0.967741935
인스타팔로우좀요	0.70212766	0.723404255	0.659574468	0.872340426	0.85106383	0.936170213
제우스팀 에코	0.830508475	0.762711864	0.728813559	0.915254237	0.915254237	0.966101695
제우스팀 제리	0.806451613	0.741935484	0.790322581	0.919354839	0.903225806	0.919354839
쫀 지	0.823529412	0.823529412	0.745098039	0.960784314	0.882352941	0.901960784
쾌감절정능욕매끈야들가련청순발육	0.824561404	0.736842105	0.789473684	0.912280702	0.947368421	0.964912281
탈리얌	0.767857143	0.696428571	0.767857143	0.964285714	0.910714286	0.946428571
포뇨의 눈	0.852941176	0.779411765	0.794117647	0.882352941	0.897058824	1
황혼우주자야	0.818181818	0.8	0.763636364	0.927272727	0.872727273	0.963636364
	0.816550725	0.769919814	0.767859935	0.936086286	0.896309932	0.951255837
